Date Label,Measure Names,Measure Values
2018-6 (Jun),Ad Bookings,90326.600356120
2018-7 (Jul),Ad Bookings,84397.269430194
2018-8 (Aug),Ad Bookings,75930.018053817
2018-9 (Sep),Ad Bookings,70472.589503534
2018-10 (Oct),Ad Bookings,78432.256684214
2018-11 (Nov),Ad Bookings,65427.255600032
2018-12 (Dec),Ad Bookings,73026.807063467
2019-1 (Jan),Ad Bookings,57506.626951141
2019-2 (Feb),Ad Bookings,48316.563624651
2019-3 (Mar),Ad Bookings,55008.094026706
2019-4 (Apr),Ad Bookings,55629.809333654
2019-5 (May),Ad Bookings,86393.629518548
2019-6 (Jun),Ad Bookings,84041.768452977
2019-7 (Jul),Ad Bookings,82100.18029
2019-8 (Aug),Ad Bookings,78184.082480000
2019-9 (Sep),Ad Bookings,85231.27477
2019-10 (Oct),Ad Bookings,85848.721170000
2019-11 (Nov),Ad Bookings,93488.82627
2019-12 (Dec),Ad Bookings,103662.71255
2020-1 (Jan),Ad Bookings,96319.389120000
2020-2 (Feb),Ad Bookings,80527.549670000
2020-3 (Mar),Ad Bookings,80077.756010000
2020-4 (Apr),Ad Bookings,65992.064780000
2020-5 (May),Ad Bookings,68948.3027
2020-6 (Jun),Ad Bookings,74072.758760000
2020-7 (Jul),Ad Bookings,77096.581330000
2020-8 (Aug),Ad Bookings,94805.718714763
2020-9 (Sep),Ad Bookings,88220.2102
2020-10 (Oct),Ad Bookings,89680.2503
2020-11 (Nov),Ad Bookings,97501.294800000
2020-12 (Dec),Ad Bookings,101556.06465
2021-1 (Jan),Ad Bookings,93291.89565
2021-2 (Feb),Ad Bookings,80456.92275
2021-3 (Mar),Ad Bookings,95686.816300000
2021-4 (Apr),Ad Bookings,93946.0722
2021-5 (May),Ad Bookings,94840.783700000
2021-6 (Jun),Ad Bookings,85750.11
2021-7 (Jul),Ad Bookings,74877.9007
2021-8 (Aug),Ad Bookings,80897.362
2021-9 (Sep),Ad Bookings,83478.080200000
2021-10 (Oct),Ad Bookings,80600.029195000
2021-11 (Nov),Ad Bookings,7489.5343
2015-2 (Feb),IAP Bookings,5479.95
2015-3 (Mar),IAP Bookings,35115.89
2015-4 (Apr),IAP Bookings,533545.530000001
2015-5 (May),IAP Bookings,1074144.46
2015-6 (Jun),IAP Bookings,1309085.81
2015-7 (Jul),IAP Bookings,1684438.49
2015-8 (Aug),IAP Bookings,2054500.50999999
2015-9 (Sep),IAP Bookings,2256959.52999999
2015-10 (Oct),IAP Bookings,2540375.44999999
